gene_id,cancer_cohort,effect_size,effect_size_label,adjusted_p_value,de_score,cancer_association_raw_score,cancer_association_score,cancer_association_availability,clinical_category,clinical_direction,clinical_score,clinical_availability,cross_cancer_cohort_count,cross_cancer_score,cross_cancer_availability,functional_description,pathway_count,final_score,rank,scoring_version
CXCL2,TCGA-BRCA,-4.53684832797582,log2_fold_change,2.373628002974883e-86,0.9952532596286727,0.099123,0.099123,available,validated prognostic - favorable,favorable,1.0,available,3,1.0,available,C-X-C motif chemokine ligand 2,3,0.7735940649071682,1,1.0
DEF6,TCGA-BRCA,0.8840546370484086,log2_fold_change,1.5765428287566997e-15,0.7060025235834886,0.089951,0.089951,available,validated prognostic - favorable,favorable,1.0,available,3,1.0,available,DEF6 guanine nucleotide exchange factor,4,0.6989883808958721,2,1.0
MYEOV,TCGA-BRCA,-3.241159937788866,log2_fold_change,2.998804706151353e-38,0.9775280898876404,0.265082,0.265082,available,potential prognostic - favorable,favorable,0.5,available,3,1.0,available,myeloma overexpressed,0,0.6856525224719101,3,1.0
TNFSF11,TCGA-BRCA,0.8496201514497272,log2_fold_change,0.0009916678223097,0.6911614492579463,0.486712,0.486712,available,potential prognostic - favorable,favorable,0.5,available,3,1.0,available,TNF superfamily member 11,4,0.6694683623144866,4,1.0
BRCA2,TCGA-BRCA,1.2950987661724946,log2_fold_change,2.044725995902629e-25,0.8229886438743015,0.84009,0.84009,available,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,BRCA2 DNA repair associated,14,0.6657696609685754,5,1.0
ZNF853,TCGA-BRCA,-0.7599375697676267,log2_fold_change,5.357722497347197e-23,0.6472390794928798,0.0,0.0,no_support,validated prognostic - favorable,favorable,1.0,available,3,1.0,available,zinc finger protein 853,0,0.6618097698732199,6,1.0
PRIM1,TCGA-BRCA,0.559333528442802,log2_fold_change,2.605818282703872e-22,0.5225019527729375,0.613664,0.613664,available,potential prognostic - unfavorable,unfavorable,0.5,available,3,1.0,available,DNA primase subunit 1,9,0.6590414881932344,7,1.0
BRIP1,TCGA-BRCA,1.8414088926738,log2_fold_change,1.4184434670826019e-34,0.9030222916541489,0.714874,0.714874,available,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,BRCA1 interacting DNA helicase 1,15,0.6544740729135372,8,1.0
KRT5,TCGA-BRCA,-3.793416149306722,log2_fold_change,1.1668355355037451e-24,0.9888241302649763,0.113983,0.113983,available,potential prognostic - favorable,favorable,0.5,available,3,1.0,available,keratin 5,7,0.650701782566244,9,1.0
TIPARP,TCGA-BRCA,-1.2664087255513454,log2_fold_change,9.54053863464262e-31,0.8172204530433215,0.28404,0.28404,available,potential prognostic - favorable,favorable,0.5,available,3,1.0,available,TCDD inducible poly(ADP-ribose) polymerase,0,0.6503151132608304,10,1.0
TOP2A,TCGA-BRCA,3.672042368341089,log2_fold_change,2.2001908115736548e-49,0.9864808027398907,0.613774,0.613774,available,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,DNA topoisomerase II alpha,2,0.6500637006849727,11,1.0
NTRK3,TCGA-BRCA,-2.854093815669529,log2_fold_change,2.087417155009504e-76,0.9658114522622123,0.133396,0.133396,available,potential prognostic - favorable,favorable,0.5,available,3,1.0,available,neurotrophic receptor tyrosine kinase 3,10,0.6498018630655531,12,1.0
CST1,TCGA-BRCA,5.659254206848023,log2_fold_change,2.5282429390307344e-93,0.9987382082557231,0.100326,0.100326,available,potential prognostic - favorable,favorable,0.5,available,3,1.0,available,cystatin SN,0,0.6497660520639308,13,1.0
PIGR,TCGA-BRCA,-4.263120620032307,log2_fold_change,1.3427221351754081e-22,0.9935708706363036,0.103681,0.103681,available,potential prognostic - favorable,favorable,0.5,available,3,1.0,available,polymeric immunoglobulin receptor,1,0.6493129676590759,14,1.0
TACR1,TCGA-BRCA,-3.738156106766458,log2_fold_change,1.130498240050775e-101,0.9876825091630115,0.105623,0.105623,available,potential prognostic - favorable,favorable,0.5,available,3,1.0,available,tachykinin receptor 1,4,0.6483263772907528,15,1.0
KRT14,TCGA-BRCA,-4.053451153864605,log2_fold_change,3.4239994368609594e-25,0.9918283963227783,0.101265,0.101265,available,potential prognostic - favorable,favorable,0.5,available,3,1.0,available,keratin 14,5,0.6482733490806946,16,1.0
FREM1,TCGA-BRCA,-3.936413954325193,log2_fold_change,6.069924537478345e-79,0.9906867752208136,0.099728,0.099728,available,potential prognostic - favorable,favorable,0.5,available,3,1.0,available,FRAS1 related extracellular matrix 1,0,0.6476036938052034,17,1.0
TP63,TCGA-BRCA,-3.397414830718548,log2_fold_change,3.246719590126352e-31,0.9814336357627832,0.100583,0.100583,available,potential prognostic - favorable,favorable,0.5,available,3,1.0,available,tumor protein p63,12,0.6455041589406958,18,1.0
TUBB3,TCGA-BRCA,2.641631272689474,log2_fold_change,1.5816026407103585e-52,0.9569188247311182,0.622807,0.622807,available,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,tubulin beta 3 class III,32,0.6449314561827796,19,1.0
TUBB2B,TCGA-BRCA,-2.721564887492204,log2_fold_change,6.549966400505791e-50,0.9600432614312323,0.611122,0.611122,available,unprognostic - favorable,favorable,0.0,available,3,1.0,available,tubulin beta 2B class IIb,32,0.6427913153578081,20,1.0
TFPI2,TCGA-BRCA,-2.6516077052247766,log2_fold_change,2.1818072843087072e-32,0.9571591660157424,0.112716,0.112716,available,potential prognostic - favorable,favorable,0.5,available,3,1.0,available,tissue factor pathway inhibitor 2,1,0.6424687915039355,21,1.0
GPR18,TCGA-BRCA,0.601359720289786,log2_fold_change,4.819343885587435e-08,0.5511626509643694,0.009654,0.009654,available,validated prognostic - favorable,favorable,1.0,available,3,1.0,available,G protein-coupled receptor 18,2,0.6402041627410924,22,1.0
SHCBP1,TCGA-BRCA,2.620231063986309,log2_fold_change,1.410798003892392e-51,0.9560175449137776,0.097786,0.097786,available,potential prognostic - unfavorable,unfavorable,0.5,available,3,1.0,available,SHC binding and spindle associated 1,0,0.6384508862284444,23,1.0
NPY5R,TCGA-BRCA,-3.0417019502950624,log2_fold_change,3.917173734627083e-44,0.9721804963047528,0.07843,0.07843,available,potential prognostic - favorable,favorable,0.5,available,3,1.0,available,neuropeptide Y receptor Y5,2,0.6376526240761882,24,1.0
KRT17,TCGA-BRCA,-2.772998025716067,log2_fold_change,2.322404195568455e-12,0.9626269302409421,0.086059,0.086059,available,potential prognostic - favorable,favorable,0.5,available,3,1.0,available,keratin 17,3,0.6371714825602355,25,1.0
COL17A1,TCGA-BRCA,-3.9807950494970337,log2_fold_change,3.305792070601639e-24,0.991227543111218,0.053526,0.053526,available,potential prognostic - favorable,favorable,0.5,available,3,1.0,available,collagen type XVII alpha 1 chain,7,0.6361883857778046,26,1.0
RRM2,TCGA-BRCA,3.5293807449343517,log2_fold_change,1.4753362728808372e-50,0.9841975605359611,0.557949,0.557949,available,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,ribonucleotide reductase regulatory subunit M2,3,0.6355366401339902,27,1.0
CXCL1,TCGA-BRCA,-2.062569909162149,log2_fold_change,5.361917929291109e-38,0.923391215526047,0.117836,0.117836,available,potential prognostic - favorable,favorable,0.5,available,3,1.0,available,C-X-C motif chemokine ligand 1,4,0.6353068038815117,28,1.0
CXCL9,TCGA-BRCA,2.0908357474132,log2_fold_change,2.3730145305227137e-33,0.9254942017665084,0.10926,0.10926,available,potential prognostic - favorable,favorable,0.5,available,3,1.0,available,C-X-C motif chemokine ligand 9,2,0.6336885504416271,29,1.0
TYMS,TCGA-BRCA,1.9799176821954612,log2_fold_change,1.1666754448166363e-46,0.916180976987322,0.615339,0.615339,available,unprognostic - favorable,favorable,0.0,available,3,1.0,available,thymidylate synthetase,2,0.6328799942468305,30,1.0
FGFBP1,TCGA-BRCA,-3.875998620640024,log2_fold_change,1.58419268904649e-45,0.989905666045785,0.040498,0.040498,available,potential prognostic - favorable,favorable,0.5,available,3,1.0,available,fibroblast growth factor binding protein 1,1,0.6326009165114462,31,1.0
TUBA3E,TCGA-BRCA,2.014019445377345,log2_fold_change,2.5678903168685632e-24,0.9190049870816559,0.604946,0.604946,available,unprognostic - favorable,favorable,0.0,available,3,1.0,available,tubulin alpha 3e,29,0.6309877467704139,32,1.0
ALDH3A1,TCGA-BRCA,-3.304139137040413,log2_fold_change,1.373244301882225e-41,0.9791503935588536,0.039127,0.039127,available,potential prognostic - favorable,favorable,0.5,available,3,1.0,available,aldehyde dehydrogenase 3 family member A1,1,0.6295693483897133,33,1.0
SLC27A6,TCGA-BRCA,-3.4079586016088523,log2_fold_change,3.452809928281601e-39,0.9818542330108755,0.031462,0.031462,available,potential prognostic - favorable,favorable,0.5,available,3,1.0,available,solute carrier family 27 member 6,1,0.6283290582527189,34,1.0
