gene_id,cancer_cohort,effect_size,effect_size_label,adjusted_p_value,de_score,cancer_association_raw_score,cancer_association_score,cancer_association_availability,clinical_category,clinical_direction,clinical_score,clinical_availability,cross_cancer_cohort_count,cross_cancer_score,cross_cancer_availability,functional_description,pathway_count,final_score,rank,scoring_version
GOLGA7B,TCGA-COAD,2.0296273921200747,log2_fold_change,7.190421592026287e-32,0.897782375379841,0.0,0.0,no_support,validated prognostic - unfavorable,unfavorable,1.0,available,3,1.0,available,golgin A7 family member B,0,0.7244455938449602,1,1.0
DSC2,TCGA-COAD,-1.6408824407300011,log2_fold_change,7.110252313601556e-19,0.8472877739703886,0.007771,0.007771,available,validated prognostic - favorable,favorable,1.0,available,3,1.0,available,desmocollin 2,2,0.7137646934925972,2,1.0
TLX1,TCGA-COAD,3.179171064301552,log2_fold_change,3.359447261553e-27,0.9651516131117864,0.279369,0.279369,available,potential prognostic - unfavorable,unfavorable,0.5,available,3,1.0,available,T cell leukemia homeobox 1,0,0.6861301532779466,3,1.0
DPP7,TCGA-COAD,0.7395646512024534,log2_fold_change,1.9277430559181847e-13,0.566367104157238,0.014184,0.014184,available,validated prognostic - unfavorable,unfavorable,1.0,available,3,1.0,available,dipeptidyl peptidase 7,1,0.6451377760393096,4,1.0
SLC4A4,TCGA-COAD,-6.233530854511342,log2_fold_change,2.4647258091110383e-73,0.9976078101765048,0.077749,0.077749,available,potential prognostic - favorable,favorable,0.5,available,3,1.0,available,solute carrier family 4 member 4,3,0.6438392025441262,5,1.0
ATOH1,TCGA-COAD,-3.069396111205868,log2_fold_change,3.4457768229833864e-30,0.9619189241611172,0.077205,0.077205,available,potential prognostic - favorable,favorable,0.5,available,3,1.0,available,atonal bHLH transcription factor 1,0,0.6347809810402794,6,1.0
FES,TCGA-COAD,-1.0878239297288088,log2_fold_change,4.005389509744103e-24,0.7189500226288227,0.277519,0.277519,available,potential prognostic - unfavorable,unfavorable,0.5,available,3,1.0,available,"FES proto-oncogene, tyrosine kinase",4,0.6241172556572057,7,1.0
TPSG1,TCGA-COAD,-4.010498115299335,log2_fold_change,4.035155712671008e-41,0.9846124005948148,0.004625,0.004625,available,potential prognostic - favorable,favorable,0.5,available,3,1.0,available,tryptase gamma 1,0,0.6223093501487037,8,1.0
ANO7,TCGA-COAD,-2.16160418727614,log2_fold_change,2.5709475850687075e-20,0.9120062067627853,0.071415,0.071415,available,potential prognostic - favorable,favorable,0.5,available,3,1.0,available,anoctamin 7,2,0.6208553016906964,9,1.0
EEF1A2,TCGA-COAD,-2.9734966228893063,log2_fold_change,3.01638817100968e-23,0.9580396974203143,0.013669,0.013669,available,potential prognostic - unfavorable,unfavorable,0.5,available,3,1.0,available,eukaryotic translation elongation factor 1 alpha 2,1,0.6179271743550786,10,1.0
SULT1B1,TCGA-COAD,-3.2729221132525987,log2_fold_change,4.997510311887872e-47,0.9679317256093619,0.0,0.0,no_support,potential prognostic - favorable,favorable,0.5,available,3,1.0,available,sulfotransferase family 1B member 1,1,0.6169829314023405,11,1.0
