gene_id,cancer_cohort,effect_size,effect_size_label,adjusted_p_value,de_score,cancer_association_raw_score,cancer_association_score,cancer_association_availability,clinical_category,clinical_direction,clinical_score,clinical_availability,cross_cancer_cohort_count,cross_cancer_score,cross_cancer_availability,functional_description,pathway_count,final_score,rank,scoring_version
BUB1B,TCGA-LUAD,3.5484985486259664,log2_fold_change,1.008837587656878e-42,0.9856519026824704,0.300323,0.300323,available,validated prognostic - unfavorable,unfavorable,1.0,available,3,1.0,available,BUB1 mitotic checkpoint serine/threonine kinase B,10,0.8214937256706176,1,1.0
RAD51,TCGA-LUAD,2.245659697219024,log2_fold_change,2.8399937636742875e-37,0.9288209606986899,0.199805,0.199805,available,validated prognostic - unfavorable,unfavorable,1.0,available,3,1.0,available,RAD51 recombinase,13,0.7821564901746725,2,1.0
TUBA1C,TCGA-LUAD,1.112343623498436,log2_fold_change,2.377678849924469e-21,0.7562694946974423,0.371946,0.371946,available,validated prognostic - unfavorable,unfavorable,1.0,available,3,1.0,available,tubulin alpha 1c,32,0.7820538736743605,3,1.0
MYBL2,TCGA-LUAD,3.945697353957545,log2_fold_change,2.2195821512762305e-39,0.9915159076731129,0.103506,0.103506,available,validated prognostic - unfavorable,unfavorable,1.0,available,3,1.0,available,MYB proto-oncogene like 2,3,0.7737554769182782,4,1.0
BIRC5,TCGA-LUAD,3.8085632516044106,log2_fold_change,7.231025480387657e-36,0.9897067997504678,0.104448,0.104448,available,validated prognostic - unfavorable,unfavorable,1.0,available,3,1.0,available,baculoviral IAP repeat containing 5,10,0.773538699937617,5,1.0
FOXM1,TCGA-LUAD,3.2067736481816667,log2_fold_change,1.847923960327936e-45,0.9780411728009981,0.108721,0.108721,available,validated prognostic - unfavorable,unfavorable,1.0,available,3,1.0,available,forkhead box M1,3,0.7716905432002495,6,1.0
BRCA1,TCGA-LUAD,1.222147770281392,log2_fold_change,2.909568840655593e-39,0.7867124142233313,0.284823,0.284823,available,validated prognostic - unfavorable,unfavorable,1.0,available,3,1.0,available,BRCA1 DNA repair associated,28,0.7678838535558328,7,1.0
KIF14,TCGA-LUAD,3.528854642093138,log2_fold_change,5.339038788723314e-50,0.9850904553961323,0.081554,0.081554,available,validated prognostic - unfavorable,unfavorable,1.0,available,3,1.0,available,kinesin family member 14,3,0.7666611138490331,8,1.0
PLK1,TCGA-LUAD,3.2776265097910158,log2_fold_change,2.6193393285774206e-45,0.9797255146600125,0.086622,0.086622,available,validated prognostic - unfavorable,unfavorable,1.0,available,3,1.0,available,polo like kinase 1,25,0.7665868786650032,9,1.0
ANLN,TCGA-LUAD,3.561945966759916,log2_fold_change,1.1576029949322411e-48,0.9859638178415471,0.078273,0.078273,available,validated prognostic - unfavorable,unfavorable,1.0,available,3,1.0,available,"anillin, actin binding protein",3,0.7660592044603868,10,1.0
CDC20,TCGA-LUAD,3.8005774493993743,log2_fold_change,6.155073036926872e-39,0.9894572676232065,0.074645,0.074645,available,validated prognostic - unfavorable,unfavorable,1.0,available,3,1.0,available,cell division cycle 20,20,0.7660255669058016,11,1.0
MKI67,TCGA-LUAD,2.8519450748724697,log2_fold_change,1.693016053215395e-40,0.964316905801622,0.096676,0.096676,available,validated prognostic - unfavorable,unfavorable,1.0,available,3,1.0,available,marker of proliferation Ki-67,0,0.7652482264504055,12,1.0
HMMR,TCGA-LUAD,3.0863954418298505,log2_fold_change,1.5509658650176368e-39,0.9736119775421086,0.086011,0.086011,available,validated prognostic - unfavorable,unfavorable,1.0,available,3,1.0,available,hyaluronan mediated motility receptor,3,0.7649057443855272,13,1.0
MCM10,TCGA-LUAD,3.3904815402336665,log2_fold_change,2.473352831435579e-46,0.9822832189644417,0.075465,0.075465,available,validated prognostic - unfavorable,unfavorable,1.0,available,3,1.0,available,minichromosome maintenance 10 replication initiation factor,2,0.7644370547411105,14,1.0
SKA3,TCGA-LUAD,3.115009675826889,log2_fold_change,1.088629868693164e-37,0.9748596381784155,0.080491,0.080491,available,validated prognostic - unfavorable,unfavorable,1.0,available,3,1.0,available,spindle and kinetochore associated complex subunit 3,0,0.7638376595446039,15,1.0
SLC2A1,TCGA-LUAD,3.0063696758268907,log2_fold_change,6.861895132354392e-49,0.9713038053649408,0.063249,0.063249,available,validated prognostic - unfavorable,unfavorable,1.0,available,3,1.0,available,solute carrier family 2 member 1,5,0.7586382013412352,16,1.0
FEN1,TCGA-LUAD,1.4845884087543189,log2_fold_change,1.9034684033678316e-57,0.840174672489083,0.193744,0.193744,available,validated prognostic - unfavorable,unfavorable,1.0,available,3,1.0,available,flap structure-specific endonuclease 1,6,0.7584796681222707,17,1.0
MELK,TCGA-LUAD,3.702056310679612,log2_fold_change,6.786573657628086e-42,0.9878976918278228,0.044075,0.044075,available,validated prognostic - unfavorable,unfavorable,1.0,available,3,1.0,available,maternal embryonic leucine zipper kinase,0,0.7579931729569558,18,1.0
