rank,cancer_cohort,gene_id,effect_size,adjusted_p_value,de_score,cancer_association_score,clinical_category,clinical_score,cross_cancer_cohort_count,cross_cancer_score,pathway_count,final_score
1,TCGA-BRCA,CXCL2,-4.53684832797582,2.373628002974883e-86,0.9952532596286728,0.099123,validated prognostic - favorable,1.0,3,1.0,3,0.7735940649071682
2,TCGA-BRCA,DEF6,0.8840546370484086,1.5765428287566997e-15,0.7060025235834886,0.089951,validated prognostic - favorable,1.0,3,1.0,4,0.6989883808958721
3,TCGA-BRCA,MYEOV,-3.241159937788866,2.998804706151353e-38,0.9775280898876404,0.265082,potential prognostic - favorable,0.5,3,1.0,0,0.6856525224719101
4,TCGA-BRCA,TNFSF11,0.8496201514497272,0.0009916678223097,0.6911614492579463,0.486712,potential prognostic - favorable,0.5,3,1.0,4,0.6694683623144866
5,TCGA-BRCA,BRCA2,1.2950987661724946,2.044725995902629e-25,0.8229886438743015,0.84009,unprognostic - unfavorable,0.0,3,1.0,14,0.6657696609685754
6,TCGA-BRCA,ZNF853,-0.7599375697676267,5.357722497347197e-23,0.6472390794928798,0.0,validated prognostic - favorable,1.0,3,1.0,0,0.6618097698732199
7,TCGA-BRCA,PRIM1,0.559333528442802,2.605818282703872e-22,0.5225019527729375,0.613664,potential prognostic - unfavorable,0.5,3,1.0,9,0.6590414881932344
8,TCGA-BRCA,BRIP1,1.8414088926738,1.4184434670826019e-34,0.9030222916541488,0.714874,unprognostic - unfavorable,0.0,3,1.0,15,0.6544740729135372
9,TCGA-BRCA,KRT5,-3.793416149306722,1.1668355355037451e-24,0.9888241302649764,0.113983,potential prognostic - favorable,0.5,3,1.0,7,0.650701782566244
10,TCGA-BRCA,TIPARP,-1.2664087255513454,9.540538634642621e-31,0.8172204530433215,0.28404,potential prognostic - favorable,0.5,3,1.0,0,0.6503151132608304
11,TCGA-BRCA,TOP2A,3.672042368341089,2.2001908115736548e-49,0.9864808027398908,0.613774,unprognostic - unfavorable,0.0,3,1.0,2,0.6500637006849727
12,TCGA-BRCA,NTRK3,-2.854093815669529,2.087417155009504e-76,0.9658114522622124,0.133396,potential prognostic - favorable,0.5,3,1.0,10,0.6498018630655531
13,TCGA-BRCA,CST1,5.659254206848023,2.5282429390307344e-93,0.9987382082557232,0.100326,potential prognostic - favorable,0.5,3,1.0,0,0.6497660520639308
14,TCGA-BRCA,PIGR,-4.263120620032307,1.3427221351754081e-22,0.9935708706363036,0.103681,potential prognostic - favorable,0.5,3,1.0,1,0.6493129676590759
15,TCGA-BRCA,TACR1,-3.738156106766458,1.130498240050775e-101,0.9876825091630116,0.105623,potential prognostic - favorable,0.5,3,1.0,4,0.6483263772907528
16,TCGA-BRCA,KRT14,-4.053451153864605,3.4239994368609594e-25,0.9918283963227784,0.101265,potential prognostic - favorable,0.5,3,1.0,5,0.6482733490806946
17,TCGA-BRCA,FREM1,-3.936413954325193,6.069924537478345e-79,0.9906867752208136,0.099728,potential prognostic - favorable,0.5,3,1.0,0,0.6476036938052034
18,TCGA-BRCA,TP63,-3.397414830718548,3.246719590126352e-31,0.9814336357627832,0.100583,potential prognostic - favorable,0.5,3,1.0,12,0.6455041589406958
19,TCGA-BRCA,TUBB3,2.641631272689474,1.5816026407103585e-52,0.9569188247311182,0.622807,unprognostic - unfavorable,0.0,3,1.0,32,0.6449314561827796
20,TCGA-BRCA,TUBB2B,-2.721564887492204,6.549966400505791e-50,0.9600432614312324,0.611122,unprognostic - favorable,0.0,3,1.0,32,0.6427913153578081
21,TCGA-BRCA,TFPI2,-2.6516077052247766,2.1818072843087072e-32,0.9571591660157424,0.112716,potential prognostic - favorable,0.5,3,1.0,1,0.6424687915039355
22,TCGA-BRCA,GPR18,0.601359720289786,4.819343885587435e-08,0.5511626509643694,0.009654,validated prognostic - favorable,1.0,3,1.0,2,0.6402041627410924
23,TCGA-BRCA,SHCBP1,2.620231063986309,1.410798003892392e-51,0.9560175449137776,0.097786,potential prognostic - unfavorable,0.5,3,1.0,0,0.6384508862284444
24,TCGA-BRCA,NPY5R,-3.0417019502950624,3.917173734627083e-44,0.9721804963047528,0.07843,potential prognostic - favorable,0.5,3,1.0,2,0.6376526240761882
25,TCGA-BRCA,KRT17,-2.772998025716067,2.322404195568455e-12,0.962626930240942,0.086059,potential prognostic - favorable,0.5,3,1.0,3,0.6371714825602355
