rank,cancer_cohort,gene_id,effect_size,adjusted_p_value,de_score,cancer_association_score,clinical_category,clinical_score,cross_cancer_cohort_count,cross_cancer_score,pathway_count,final_score
1,TCGA-BRCA,CXCL2,-4.53684832797582,2.373628002974883e-86,0.9952532596286728,0.099123,validated prognostic - favorable,1.0,3,1.0,3,0.7735940649071682
2,TCGA-BRCA,DEF6,0.8840546370484086,1.5765428287566997e-15,0.7060025235834886,0.089951,validated prognostic - favorable,1.0,3,1.0,4,0.6989883808958721
3,TCGA-BRCA,MYEOV,-3.241159937788866,2.998804706151353e-38,0.9775280898876404,0.265082,potential prognostic - favorable,0.5,3,1.0,0,0.6856525224719101
4,TCGA-BRCA,TNFSF11,0.8496201514497272,0.0009916678223097,0.6911614492579463,0.486712,potential prognostic - favorable,0.5,3,1.0,4,0.6694683623144866
5,TCGA-BRCA,BRCA2,1.2950987661724946,2.044725995902629e-25,0.8229886438743015,0.84009,unprognostic - unfavorable,0.0,3,1.0,14,0.6657696609685754
6,TCGA-BRCA,ZNF853,-0.7599375697676267,5.357722497347197e-23,0.6472390794928798,0.0,validated prognostic - favorable,1.0,3,1.0,0,0.6618097698732199
7,TCGA-BRCA,PRIM1,0.559333528442802,2.605818282703872e-22,0.5225019527729375,0.613664,potential prognostic - unfavorable,0.5,3,1.0,9,0.6590414881932344
8,TCGA-BRCA,BRIP1,1.8414088926738,1.4184434670826019e-34,0.9030222916541488,0.714874,unprognostic - unfavorable,0.0,3,1.0,15,0.6544740729135372
9,TCGA-BRCA,KRT5,-3.793416149306722,1.1668355355037451e-24,0.9888241302649764,0.113983,potential prognostic - favorable,0.5,3,1.0,7,0.650701782566244
10,TCGA-BRCA,TIPARP,-1.2664087255513454,9.540538634642621e-31,0.8172204530433215,0.28404,potential prognostic - favorable,0.5,3,1.0,0,0.6503151132608304
11,TCGA-BRCA,TOP2A,3.672042368341089,2.2001908115736548e-49,0.9864808027398908,0.613774,unprognostic - unfavorable,0.0,3,1.0,2,0.6500637006849727
12,TCGA-BRCA,NTRK3,-2.854093815669529,2.087417155009504e-76,0.9658114522622124,0.133396,potential prognostic - favorable,0.5,3,1.0,10,0.6498018630655531
13,TCGA-BRCA,CST1,5.659254206848023,2.5282429390307344e-93,0.9987382082557232,0.100326,potential prognostic - favorable,0.5,3,1.0,0,0.6497660520639308
14,TCGA-BRCA,PIGR,-4.263120620032307,1.3427221351754081e-22,0.9935708706363036,0.103681,potential prognostic - favorable,0.5,3,1.0,1,0.6493129676590759
15,TCGA-BRCA,TACR1,-3.738156106766458,1.130498240050775e-101,0.9876825091630116,0.105623,potential prognostic - favorable,0.5,3,1.0,4,0.6483263772907528
16,TCGA-BRCA,KRT14,-4.053451153864605,3.4239994368609594e-25,0.9918283963227784,0.101265,potential prognostic - favorable,0.5,3,1.0,5,0.6482733490806946
17,TCGA-BRCA,FREM1,-3.936413954325193,6.069924537478345e-79,0.9906867752208136,0.099728,potential prognostic - favorable,0.5,3,1.0,0,0.6476036938052034
18,TCGA-BRCA,TP63,-3.397414830718548,3.246719590126352e-31,0.9814336357627832,0.100583,potential prognostic - favorable,0.5,3,1.0,12,0.6455041589406958
19,TCGA-BRCA,TUBB3,2.641631272689474,1.5816026407103585e-52,0.9569188247311182,0.622807,unprognostic - unfavorable,0.0,3,1.0,32,0.6449314561827796
20,TCGA-BRCA,TUBB2B,-2.721564887492204,6.549966400505791e-50,0.9600432614312324,0.611122,unprognostic - favorable,0.0,3,1.0,32,0.6427913153578081
21,TCGA-BRCA,TFPI2,-2.6516077052247766,2.1818072843087072e-32,0.9571591660157424,0.112716,potential prognostic - favorable,0.5,3,1.0,1,0.6424687915039355
22,TCGA-BRCA,GPR18,0.601359720289786,4.819343885587435e-08,0.5511626509643694,0.009654,validated prognostic - favorable,1.0,3,1.0,2,0.6402041627410924
23,TCGA-BRCA,SHCBP1,2.620231063986309,1.410798003892392e-51,0.9560175449137776,0.097786,potential prognostic - unfavorable,0.5,3,1.0,0,0.6384508862284444
24,TCGA-BRCA,NPY5R,-3.0417019502950624,3.917173734627083e-44,0.9721804963047528,0.07843,potential prognostic - favorable,0.5,3,1.0,2,0.6376526240761882
25,TCGA-BRCA,KRT17,-2.772998025716067,2.322404195568455e-12,0.962626930240942,0.086059,potential prognostic - favorable,0.5,3,1.0,3,0.6371714825602355
1,TCGA-LUAD,BUB1B,3.5484985486259664,1.0088375876568779e-42,0.9856519026824704,0.300323,validated prognostic - unfavorable,1.0,3,1.0,10,0.8214937256706176
2,TCGA-LUAD,RAD51,2.245659697219024,2.8399937636742875e-37,0.92882096069869,0.199805,validated prognostic - unfavorable,1.0,3,1.0,13,0.7821564901746725
3,TCGA-LUAD,TUBA1C,1.112343623498436,2.377678849924469e-21,0.7562694946974423,0.371946,validated prognostic - unfavorable,1.0,3,1.0,32,0.7820538736743605
4,TCGA-LUAD,MYBL2,3.945697353957545,2.2195821512762305e-39,0.9915159076731128,0.103506,validated prognostic - unfavorable,1.0,3,1.0,3,0.7737554769182782
5,TCGA-LUAD,BIRC5,3.8085632516044106,7.231025480387657e-36,0.9897067997504678,0.104448,validated prognostic - unfavorable,1.0,3,1.0,10,0.773538699937617
6,TCGA-LUAD,FOXM1,3.2067736481816667,1.847923960327936e-45,0.978041172800998,0.108721,validated prognostic - unfavorable,1.0,3,1.0,3,0.7716905432002495
7,TCGA-LUAD,BRCA1,1.222147770281392,2.909568840655593e-39,0.7867124142233313,0.284823,validated prognostic - unfavorable,1.0,3,1.0,28,0.7678838535558328
8,TCGA-LUAD,KIF14,3.528854642093138,5.339038788723314e-50,0.9850904553961324,0.081554,validated prognostic - unfavorable,1.0,3,1.0,3,0.7666611138490331
9,TCGA-LUAD,PLK1,3.277626509791016,2.619339328577421e-45,0.9797255146600125,0.086622,validated prognostic - unfavorable,1.0,3,1.0,25,0.7665868786650032
10,TCGA-LUAD,ANLN,3.561945966759916,1.1576029949322411e-48,0.9859638178415472,0.078273,validated prognostic - unfavorable,1.0,3,1.0,3,0.7660592044603868
11,TCGA-LUAD,CDC20,3.8005774493993743,6.155073036926872e-39,0.9894572676232064,0.074645,validated prognostic - unfavorable,1.0,3,1.0,20,0.7660255669058016
12,TCGA-LUAD,MKI67,2.8519450748724697,1.6930160532153949e-40,0.964316905801622,0.096676,validated prognostic - unfavorable,1.0,3,1.0,0,0.7652482264504055
13,TCGA-LUAD,HMMR,3.0863954418298505,1.5509658650176368e-39,0.9736119775421086,0.086011,validated prognostic - unfavorable,1.0,3,1.0,3,0.7649057443855272
14,TCGA-LUAD,MCM10,3.3904815402336665,2.473352831435579e-46,0.9822832189644416,0.075465,validated prognostic - unfavorable,1.0,3,1.0,2,0.7644370547411105
15,TCGA-LUAD,SKA3,3.115009675826889,1.088629868693164e-37,0.9748596381784156,0.080491,validated prognostic - unfavorable,1.0,3,1.0,0,0.7638376595446039
16,TCGA-LUAD,SLC2A1,3.0063696758268907,6.861895132354392e-49,0.9713038053649408,0.063249,validated prognostic - unfavorable,1.0,3,1.0,5,0.7586382013412352
17,TCGA-LUAD,FEN1,1.4845884087543189,1.903468403367832e-57,0.840174672489083,0.193744,validated prognostic - unfavorable,1.0,3,1.0,6,0.7584796681222707
18,TCGA-LUAD,MELK,3.702056310679612,6.786573657628086e-42,0.9878976918278228,0.044075,validated prognostic - unfavorable,1.0,3,1.0,0,0.7579931729569558
19,TCGA-LUAD,TPX2,3.455912562119466,1.931690658771876e-45,0.9837180286961946,0.047153,validated prognostic - unfavorable,1.0,3,1.0,2,0.7577177571740487
20,TCGA-LUAD,EXO1,3.4747984597663315,1.5663353829298918e-50,0.9840923268870868,0.041241,validated prognostic - unfavorable,1.0,3,1.0,17,0.7563333317217718
21,TCGA-LUAD,SPC24,2.546244311337832,5.938248946077492e-35,0.9501559575795384,0.074005,validated prognostic - unfavorable,1.0,3,1.0,6,0.7560402393948846
22,TCGA-LUAD,KIF18B,3.559058884317919,3.2588389780166e-46,0.9858390517779164,0.038192,validated prognostic - unfavorable,1.0,3,1.0,2,0.756007762944479
23,TCGA-LUAD,GINS2,2.749679164061214,1.8141131599538967e-38,0.9595134123518404,0.063629,validated prognostic - unfavorable,1.0,3,1.0,1,0.7557856030879601
24,TCGA-LUAD,UBE2C,3.858222514398551,3.732551553661758e-43,0.990268247036806,0.03262,validated prognostic - unfavorable,1.0,3,1.0,19,0.7557220617592015
25,TCGA-LUAD,CCNB2,3.1702230705940435,1.731301712904399e-36,0.9766687461010604,0.043605,validated prognostic - unfavorable,1.0,3,1.0,11,0.7550684365252651
1,TCGA-COAD,GOLGA7B,2.0296273921200747,7.190421592026287e-32,0.897782375379841,0.0,validated prognostic - unfavorable,1.0,3,1.0,0,0.7244455938449602
2,TCGA-COAD,DSC2,-1.6408824407300011,7.110252313601556e-19,0.8472877739703886,0.007771,validated prognostic - favorable,1.0,3,1.0,2,0.7137646934925972
3,TCGA-COAD,TLX1,3.179171064301552,3.359447261553e-27,0.9651516131117864,0.279369,potential prognostic - unfavorable,0.5,3,1.0,0,0.6861301532779466
4,TCGA-COAD,DPP7,0.7395646512024534,1.927743055918185e-13,0.566367104157238,0.014184,validated prognostic - unfavorable,1.0,3,1.0,1,0.6451377760393096
5,TCGA-COAD,SLC4A4,-6.233530854511342,2.4647258091110383e-73,0.9976078101765048,0.077749,potential prognostic - favorable,0.5,3,1.0,3,0.6438392025441262
6,TCGA-COAD,ATOH1,-3.069396111205868,3.4457768229833864e-30,0.9619189241611172,0.077205,potential prognostic - favorable,0.5,3,1.0,0,0.6347809810402794
7,TCGA-COAD,FES,-1.0878239297288088,4.005389509744103e-24,0.7189500226288227,0.277519,potential prognostic - unfavorable,0.5,3,1.0,4,0.6241172556572057
8,TCGA-COAD,TPSG1,-4.010498115299335,4.0351557126710074e-41,0.9846124005948148,0.004625,potential prognostic - favorable,0.5,3,1.0,0,0.6223093501487037
9,TCGA-COAD,ANO7,-2.16160418727614,2.5709475850687075e-20,0.9120062067627852,0.071415,potential prognostic - favorable,0.5,3,1.0,2,0.6208553016906964
10,TCGA-COAD,EEF1A2,-2.9734966228893063,3.01638817100968e-23,0.9580396974203144,0.013669,potential prognostic - unfavorable,0.5,3,1.0,1,0.6179271743550786
11,TCGA-COAD,SULT1B1,-3.2729221132525987,4.997510311887872e-47,0.967931725609362,0.0,potential prognostic - favorable,0.5,3,1.0,1,0.6169829314023405
12,TCGA-COAD,TNNT1,2.5729496759338217,1.6585277170902562e-25,0.9374797956940584,0.027862,potential prognostic - unfavorable,0.5,3,1.0,1,0.6163354489235147
13,TCGA-COAD,PRELP,-3.0221483455568814,8.772790635031771e-19,0.959850003232689,0.0,potential prognostic - unfavorable,0.5,3,1.0,5,0.6149625008081723
14,TCGA-COAD,SFRP2,-2.6957222155892886,4.854913824145893e-17,0.94400982737441,0.005398,potential prognostic - unfavorable,0.5,3,1.0,2,0.6123519568436026
15,TCGA-COAD,CXCR5,-2.7300350673716527,8.059917689065266e-13,0.9461434020818515,0.00222,potential prognostic - unfavorable,0.5,3,1.0,2,0.612090850520463
16,TCGA-COAD,CCL28,-2.7582226249360406,7.806969937490291e-27,0.9472425163250792,0.0,potential prognostic - favorable,0.5,3,1.0,2,0.6118106290812698
17,TCGA-COAD,ZNF425,-0.5520747569503666,3.301039685796572e-07,0.4402275813021271,0.0,validated prognostic - unfavorable,1.0,3,1.0,2,0.6100568953255318
18,TCGA-COAD,BGN,2.37876882142248,2.051674015682181e-20,0.92681192215685,0.012631,potential prognostic - unfavorable,0.5,3,1.0,11,0.6098607305392125
19,TCGA-COAD,PPARGC1A,-2.24416353402695,3.464986304349295e-39,0.91821296954807,0.016634,potential prognostic - favorable,0.5,3,1.0,13,0.6087117423870175
20,TCGA-COAD,CRYAB,-2.3358397236909427,2.286966814602307e-13,0.9246783474494084,0.00849,potential prognostic - unfavorable,0.5,3,1.0,1,0.6082920868623521
21,TCGA-COAD,UBD,2.2624217465461385,8.414027510351627e-10,0.9197646602443912,0.011841,potential prognostic - favorable,0.5,3,1.0,1,0.6079014150610978
22,TCGA-COAD,TMEM61,-2.3672599437148216,6.856776673513133e-27,0.926294691924743,0.0,potential prognostic - favorable,0.5,3,1.0,0,0.6065736729811857
23,TCGA-COAD,ADH6,-2.2967873955312976,8.307781093294266e-30,0.9220921962888732,0.0,potential prognostic - favorable,0.5,3,1.0,1,0.6055230490722183
24,TCGA-COAD,ASPHD1,2.080793271362784,1.4157305385097472e-41,0.903342600374992,0.0,potential prognostic - unfavorable,0.5,3,1.0,0,0.600835650093748
25,TCGA-COAD,SALL4,3.995023810336006,1.089042137087549e-49,0.9842244779207344,0.387271,unprognostic - unfavorable,0.0,3,1.0,3,0.5928738694801836
