rank,cancer_cohort,gene_id,effect_size,adjusted_p_value,de_score,cancer_association_score,clinical_category,clinical_score,cross_cancer_cohort_count,cross_cancer_score,pathway_count,final_score
1,TCGA-LUAD,BUB1B,3.5484985486259664,1.0088375876568779e-42,0.9856519026824704,0.300323,validated prognostic - unfavorable,1.0,3,1.0,10,0.8214937256706176
2,TCGA-LUAD,RAD51,2.245659697219024,2.8399937636742875e-37,0.92882096069869,0.199805,validated prognostic - unfavorable,1.0,3,1.0,13,0.7821564901746725
3,TCGA-LUAD,TUBA1C,1.112343623498436,2.377678849924469e-21,0.7562694946974423,0.371946,validated prognostic - unfavorable,1.0,3,1.0,32,0.7820538736743605
4,TCGA-LUAD,MYBL2,3.945697353957545,2.2195821512762305e-39,0.9915159076731128,0.103506,validated prognostic - unfavorable,1.0,3,1.0,3,0.7737554769182782
5,TCGA-LUAD,BIRC5,3.8085632516044106,7.231025480387657e-36,0.9897067997504678,0.104448,validated prognostic - unfavorable,1.0,3,1.0,10,0.773538699937617
6,TCGA-LUAD,FOXM1,3.2067736481816667,1.847923960327936e-45,0.978041172800998,0.108721,validated prognostic - unfavorable,1.0,3,1.0,3,0.7716905432002495
7,TCGA-LUAD,BRCA1,1.222147770281392,2.909568840655593e-39,0.7867124142233313,0.284823,validated prognostic - unfavorable,1.0,3,1.0,28,0.7678838535558328
8,TCGA-LUAD,KIF14,3.528854642093138,5.339038788723314e-50,0.9850904553961324,0.081554,validated prognostic - unfavorable,1.0,3,1.0,3,0.7666611138490331
9,TCGA-LUAD,PLK1,3.277626509791016,2.619339328577421e-45,0.9797255146600125,0.086622,validated prognostic - unfavorable,1.0,3,1.0,25,0.7665868786650032
10,TCGA-LUAD,ANLN,3.561945966759916,1.1576029949322411e-48,0.9859638178415472,0.078273,validated prognostic - unfavorable,1.0,3,1.0,3,0.7660592044603868
11,TCGA-LUAD,CDC20,3.8005774493993743,6.155073036926872e-39,0.9894572676232064,0.074645,validated prognostic - unfavorable,1.0,3,1.0,20,0.7660255669058016
12,TCGA-LUAD,MKI67,2.8519450748724697,1.6930160532153949e-40,0.964316905801622,0.096676,validated prognostic - unfavorable,1.0,3,1.0,0,0.7652482264504055
13,TCGA-LUAD,HMMR,3.0863954418298505,1.5509658650176368e-39,0.9736119775421086,0.086011,validated prognostic - unfavorable,1.0,3,1.0,3,0.7649057443855272
14,TCGA-LUAD,MCM10,3.3904815402336665,2.473352831435579e-46,0.9822832189644416,0.075465,validated prognostic - unfavorable,1.0,3,1.0,2,0.7644370547411105
15,TCGA-LUAD,SKA3,3.115009675826889,1.088629868693164e-37,0.9748596381784156,0.080491,validated prognostic - unfavorable,1.0,3,1.0,0,0.7638376595446039
16,TCGA-LUAD,SLC2A1,3.0063696758268907,6.861895132354392e-49,0.9713038053649408,0.063249,validated prognostic - unfavorable,1.0,3,1.0,5,0.7586382013412352
17,TCGA-LUAD,FEN1,1.4845884087543189,1.903468403367832e-57,0.840174672489083,0.193744,validated prognostic - unfavorable,1.0,3,1.0,6,0.7584796681222707
18,TCGA-LUAD,MELK,3.702056310679612,6.786573657628086e-42,0.9878976918278228,0.044075,validated prognostic - unfavorable,1.0,3,1.0,0,0.7579931729569558
19,TCGA-LUAD,TPX2,3.455912562119466,1.931690658771876e-45,0.9837180286961946,0.047153,validated prognostic - unfavorable,1.0,3,1.0,2,0.7577177571740487
20,TCGA-LUAD,EXO1,3.4747984597663315,1.5663353829298918e-50,0.9840923268870868,0.041241,validated prognostic - unfavorable,1.0,3,1.0,17,0.7563333317217718
21,TCGA-LUAD,SPC24,2.546244311337832,5.938248946077492e-35,0.9501559575795384,0.074005,validated prognostic - unfavorable,1.0,3,1.0,6,0.7560402393948846
22,TCGA-LUAD,KIF18B,3.559058884317919,3.2588389780166e-46,0.9858390517779164,0.038192,validated prognostic - unfavorable,1.0,3,1.0,2,0.756007762944479
23,TCGA-LUAD,GINS2,2.749679164061214,1.8141131599538967e-38,0.9595134123518404,0.063629,validated prognostic - unfavorable,1.0,3,1.0,1,0.7557856030879601
24,TCGA-LUAD,UBE2C,3.858222514398551,3.732551553661758e-43,0.990268247036806,0.03262,validated prognostic - unfavorable,1.0,3,1.0,19,0.7557220617592015
25,TCGA-LUAD,CCNB2,3.1702230705940435,1.731301712904399e-36,0.9766687461010604,0.043605,validated prognostic - unfavorable,1.0,3,1.0,11,0.7550684365252651
